Experiment,sex,Type,Genotype,Hierarchy,Mice.chips,Animal,Last.day.Glicko,RunningTime(N.events),RunningTime(min),WalkingTime(N.events),WalkingTime(min),StaticTime(N.events),StaticTime(min),movementTime(min),RunningTimeHighVelocity(N.events),RunningTimeHighVelocity(min),Median/mean.speed.(cm/sec),Median/mean.Aceleration.(cm/sec^2),Distance.traveled.(m),Angular.velocity.(rad/sec),sleepingSumTime(min),hidingSumTime(min),eatingSumTime(min),drinkingSumTime(min),Frequency.visits.the.hiding.boxes.(1/hour),Frequency.visits.outside.sleeping.box.(1/hour),ROI.exploration.(bits/hour),ArenaSumTime(min),CenterTimeAlone(min),InsideZoneTime(min),OutsideZoneTime(min),Chasing (N events),Chasing duration (sec),Being chased (N events),Being chased duration (sec),Chasing.plus.being.chasing.all(N.events),Chasing.plus.being.chasing.duration(sec),Foraging correlation,Distance pairs(cm),Together (N events),Time together(min),Contact snout-head (N events),Contact snout-rear (N events),Contact snout-head (1/min),Contact snout-rear (1/min),Approaching (N events),Approaching duration (sec),Being approached (N events),Being approached duration (sec),Approach.and.being.events,Approach.and.being.duration.sec,Avoiding (N events),Avoiding duration (sec),Avoid.and.being.events,Avoid.plus.being.duration.sec,Being avoided (N events),Being avoided duration (sec),Last.Day.Stability,Overall.Stability,Glicko.per.day.y
Exp56R,male,wild,WT,epsilon,000794875e,19,2038.137,1466,3.6185,7939,60.71445,6388,18.31978333,64.33295,181,0.266716667,3.963343603,37.70751769,414.804645,2.585955364,131.8361333,14.6362,8.0672,2.1534,32.50051459,55.25087481,0.820470796,93.52386667,11.24265,57.81225,25.92468333,0,0,1,1.36,1,1.36,0.019936191,28.11300391,548,14.11085,237,290,0.987515636,1.208352466,5,7.984,2,2.547,7,10.531,1,0.953,3,3.578,2,2.625,0.624674913,0.686208209,2037.787821
Exp56R,male,wild,WT,alpha,00079490ab,19,2542.376,1285,3.909766667,7329,54.19543333,5890,16.89913333,58.1052,172,0.25125,4.751131803,44.47118018,416.8725206,2.468515356,144.4988,14.28626667,5.605833333,1.362,35.00055418,24.75039188,0.863499582,81.21113333,19.74338333,53.51175,22.51295,1,1.36,1,1.047,2,2.407,-0.026687442,37.63428279,404,8.0568,138,128,0.575009104,0.533341778,0,0,0,0,0,0,2,0.47,3,1.423,1,0.953,1,0.699443393,2200
Exp56R,male,wild,WT,gamma,0007945c9b,19,2145.451,287,0.6574,1071,11.23771667,744,2.12515,11.89511667,30,0.040583333,5.639821228,52.91442799,82.84694826,3.067125246,212.5787167,12.49176667,1.794733333,0.065366667,15.75024938,1.000015834,3.238244161,14.92571667,1.84395,13.02281667,1.126316667,0,0,1,1.437,1,1.437,-0.01174394,9.0717602,114,1.803383333,35,30,0.145835642,0.125001979,0,0,3,5.373,3,5.373,2,1.5,2,1.5,0,0,0.640769905,0.849810848,2037.787821
Exp56R,male,wild,WT,delta,000794a12a,19,2077.868,1375,2.960566667,10989,87.85688333,9425,28.29935,90.81745,193,0.283833333,3.049576044,30.17580503,458.1949428,2.341233315,77.17068333,28.959,15.28411667,1.919066667,40.00063334,8.250130627,0.475059249,133.8665167,29.4892,85.71328333,34.99076667,2,1.938,0,0,2,1.938,-0.012693052,33.59766161,720,16.96648333,306,338,1.275020188,1.408355632,2,2.625,5,7.11,7,9.735,1,2.313,2,3.063,1,0.75,0.845892888,0.784634238,2447.203286
Exp56R,male,wild,WT,beta,79483,19,2222.947,1325,2.986483333,7225,59.24926667,5725,17.11853333,62.23575,234,0.36415,4.28079493,39.03555832,399.6883958,2.667220083,127.92235,21.66978333,5.422866667,0.443516667,57.00090251,30.75048688,0.665407684,90.40406667,11.9469,49.82345,30.73561667,1,1.437,1,0.891,2,2.328,0.019883551,29.28665155,562,12.17655,240,276,1.000015834,1.150018209,5,7.437,7,11,12,18.437,2,4.78,3,7.093,1,2.313,0.804830728,0.662031691,2200
Exp57L,female,wild,WT,epsilon,0007945a2c,22,2114.995,982,2.3067,6686,45.28213333,5328,16.4469,47.58883333,146,0.2245,3.463902592,32.95563272,289.6385591,2.347957083,122.4561833,6.87835,2.814066667,0.06255,9.500150419,51.50081543,0.131587878,110.6616667,17.1634,47.12228333,26.8024,0,0,0,0,0,0,0.038427521,30.34007341,303,5.068366667,146,144,0.608342965,0.6000095,3,1.922,5,8.405,8,10.327,0,0,2,8.89,2,8.89,1,0.784427366,2200
Exp57L,female,wild,WT,gamma,00079485fe,22,2151.339,1254,3.394816667,5934,51.8248,4190,11.99986667,55.21961667,143,0.237933333,4.990493961,45.50636497,397.9345138,2.66102437,127.5731167,7.080416667,1.0414,0.747633333,20.00031667,93.00147252,0.129885671,105.3426667,8.373083333,49.08738333,24.42253333,1,1.844,2,1.672,3,3.516,0.093332877,27.64248116,422,6.125433333,214,221,0.891680785,0.920847913,5,8.624,9,9.437,14,18.061,3,6.249,5,10.655,2,4.406,1,0.89663437,2076.398357
Exp57L,female,wild,WT,beta,0007947d6d,22,2273.01,976,2.315166667,5268,48.23335,3745,10.4012,50.54851667,129,0.183666667,4.849269678,47.17478296,330.1343721,2.65352244,123.69495,6.0804,0.39355,0.245316667,21.25033646,56.75089856,0.0922103,110.22085,12.62353333,41.16625,25.14466667,1,0.641,1,1.844,2,2.485,0.079433693,28.39892172,347,5.010433333,188,214,0.783345736,0.891680785,2,2.953,2,3.032,4,5.985,3,7.046,4,12.483,1,5.437,0.781578067,0.645114217,2200
Exp57L,female,wild,WT,alpha,0007944fe9,22,2330.924,1378,3.84845,5500,46.51345,3579,10.85801667,50.3619,147,0.2348,6.332061488,53.69016266,409.6449631,2.702569529,134.8193667,5.728283333,1.8248,0.530416667,18.50029292,95.50151211,0.131103129,99.44855,12.72131667,43.30578333,22.20475,1,1.031,0,0,1,1.031,0.055549982,27.01023106,339,4.5477,183,169,0.762512073,0.704177816,5,9.124,4,7.421,9,16.545,2,14.562,4,19.046,2,4.484,1,0.905246023,2362.212179
Exp57L,female,wild,WT,delta,0007945de2,22,2129.747,538,1.151383333,3222,28.9443,2311,6.671366667,30.09568333,77,0.114483333,5.025079792,47.37868514,196.1442722,2.678009666,171.4653333,5.3776,1.135016667,0.08255,11.25017813,71.25112814,0.171124852,63.15326667,6.3158,22.82323333,17.26103333,0,0,0,0,0,0,0.051957287,20.90717146,291,3.850333333,111,135,0.462507323,0.562508906,0,0,0,0,0,0,2,6.89,2,6.89,0,0,0.800556398,0.77414387,2200
