Experiment,sex,Type,Genotype,Hierarchy,Mice.chips,Animal,PC1,PC2,Archetype1_prob,Archetype2_prob,Archetype3_prob,Dominant_archetype
Exp57L,female,wild,WT,epsilon,0007945a2c,22,-6.257144886768161,-0.5788848532609687,0.02454354053088728,0.12821143135554075,0.847245028113572,3
Exp57L,female,wild,WT,gamma,00079485fe,22,-0.23884800001447215,-1.294163965613353,0.3107174218001379,0.06448029476012786,0.6248022834397342,3
Exp57L,female,wild,WT,gamma,00079485fe,22,-0.49267024958644806,3.0231645641138436,0.12946496393425075,0.4252532184520239,0.4452818176137253,3
Exp57L,female,wild,WT,gamma,00079485fe,22,1.7653406231881987,1.5052408554358576,0.28614576252424206,0.29697261864927227,0.4168816188264858,3
Exp57L,female,wild,WT,gamma,00079485fe,22,-1.6585033215521496,-1.2585148261396903,0.24846351782599913,0.06839849143369663,0.6831379907403042,3
Exp57L,female,wild,WT,gamma,00079485fe,22,-4.528321386713973,-0.18834166155536447,0.08322982976173604,0.15968609624549812,0.7570840739927658,3
Exp57L,female,wild,WT,gamma,00079485fe,22,-3.01149089185267,0.11870632280467922,0.13612494729706612,0.18432728368751702,0.6795477690154169,3
Exp57L,female,wild,WT,beta,0007947d6d,22,-1.5985562661709047,-0.7089090375402606,0.22934393856943133,0.11426458209806539,0.6563914793325033,3
Exp57L,female,wild,WT,beta,0007947d6d,22,-4.678399282010627,-0.26430480405239304,0.07979513292777153,0.15344071199736437,0.7667641550748641,3
Exp57L,female,wild,WT,beta,0007947d6d,22,-0.12844519657918174,0.3866101421757089,0.2491214233894588,0.20479375969314884,0.5460848169173924,3
Exp57L,female,wild,WT,beta,0007947d6d,22,-5.483529777093734,-0.7174820649848166,0.06317046914296197,0.11612253842338366,0.8207069924336544,3
Exp57L,female,wild,WT,beta,0007947d6d,22,-4.693803968179716,-0.09369377411790716,0.07240210593750825,0.16770120027406557,0.7598966937884262,3
Exp57L,female,wild,WT,beta,0007947d6d,22,-4.971937628083409,0.2339183269951629,0.04755270310737387,0.19524927193446104,0.757198024958165,3
Exp57L,female,wild,WT,alpha,0007944fe9,22,-1.1239509678001307,-0.9510915063107929,0.259242922379316,0.09372184448004497,0.647035233140639,3
Exp57L,female,wild,WT,alpha,0007944fe9,22,-2.7493024310322607,1.421066087647883,0.09596781167987882,0.292933133860351,0.6110990544597702,3
Exp57L,female,wild,WT,alpha,0007944fe9,22,0.41196585592107504,0.9855757567881385,0.24864688321349576,0.25446429351674305,0.49688882326976125,3
Exp57L,female,wild,WT,alpha,0007944fe9,22,-0.09790060538451599,-0.16136637517245492,0.27205522153272305,0.15900379795084504,0.5689409805164319,3
