Experiment,sex,Hierarchy,PC1,PC2,Dominant_archetype,Type,Genotype,Mice.chips,Last.day.Glicko,Animal,Progesterone,Testosterone,Corticosterone,DHEA,Cort/DHEA,T/Cort,P/Cort,AEA,1&2-AG,OEA,SEA,PEA,1&2-AG/Cort,OEA/PEA,OEA/Cort,AEA/Cort,PEA/Cort,1&2-AG/OEA,Tryptophan,Tyrosine,Glutamate,GABA,Arginine,Glycine/Serine,Asparagine/Aspartate,Glutamate/GABA,Tyrosine/Tryptophan,Aspartate,Asparagine,Serine,Glycine,Archetype1_prob,Archetype2_prob,Archetype3_prob
Exp58L,male,delta,-3.885261812908866,-1.2298421486272448,3,wild,WT,00079481c8,2071.935,23,1.13166585,1.536013,25.985205,3.479895,7.467238236,0.05911106,0.043550391,919.18638,1525.37742,52362.45,44224.5825,50876.343,58.70176587,1.029210177,2015.087047,35.37345116,1957.896542,0.029131132,11113.92,32507.6,17732.61,232.78,7201.86,0.259029098,0.145111543,76.17754962,2.924944574,6458.48,937.2,10258.5,2657.25,0.03981551948897612,0.31334067814787886,0.6468438023631451
Exp58L,male,epsilon,-2.9173802545752725,-4.1834480028755,2,wild,WT,7946132,1997.408,23,1.5238935,1.129572,25.022115,5.817123,4.301458814,0.045142947,0.060901866,764.0325,1508.1633,67716.81,130636.8,69154.155,60.27321431,0.979215349,2706.278426,30.53428937,2763.721412,0.022271624,12360.36,35941.17,16537.5,233.81,8675.64,0.219083499,0.101324292,70.73050768,2.907776958,7438.69,753.72,11427.15,2503.5,0.01263918888718472,0.6140544669473116,0.3733063441655037
Exp58L,male,gamma,-1.0386974684816004,-7.7178969784911,2,wild,WT,00079451fd,2093.911,23,0.9947502,1.544529,18.59004,6.944346,2.677003709,0.083083684,0.053509847,580.7781,1192.59945,51458.085,65794.68,49859.145,64.15260268,1.032069142,2768.045954,31.24135828,2682.03538,0.023176134,9604.32,28722.89,14579.46,214.24,5214.78,0.266421461,0.171366914,68.05199776,2.990621928,5838.7,1000.56,10970.4,2922.75,0.00813883155683494,0.9705890037112691,0.021272164731895978
Exp58R,male,alpha,-0.09001588804928437,-1.232167274993059,3,wild,WT,00079474dd,2432.68,23,1.8102285,1.772955,23.525775,8.218152,2.862659999,0.075362236,0.076946604,732.19545,1669.1346,65083.095,107673.3,64782.585,70.94918658,1.004638747,2766.459128,31.12311709,2753.685479,0.025646208,8200.8,27133.71,16393.44,203.94,5385.3,0.203657776,0.1406288,80.38364225,3.308666228,6044.85,850.08,9858.45,2007.75,0.18736996869921216,0.29611131378371786,0.51651871751707
Exp58R,male,beta,2.836951059199748,0.2854289755892812,3,wild,WT,7945855,2326.989,23,1.0271583,1.1405016,30.304665,8.1065475,3.738294878,0.037634523,0.033894395,576.5823,1152.4842,55770.12,81767.07,65264.535,38.02992708,0.85452413,1840.314684,19.02618953,2153.613478,0.020664904,6042.48,30969.1,17603.25,231.75,5862.06,0.223650942,0.124280506,75.9579288,5.125230038,5990.32,744.48,9017.4,2016.75,0.3345110946877098,0.12583913854290413,0.539649766769386
Exp58R,male,delta,-4.107701488436931,0.0027612857945819008,3,wild,WT,7948811,1959.55,23,1.24866225,1.34106165,17.61183,5.5497825,3.173427067,0.076145503,0.070899063,602.2107,1568.8323,41989.185,45340.155,43335.81,89.07832406,0.968925814,2384.146622,34.19353355,2460.608012,0.037362771,5705.88,29557.3,12121.62,193.64,6100.44,0.207419656,0.161731617,62.59873993,5.180147497,4839.87,782.76,8345.4,1731.0,0.05821487460395654,0.18701097952888587,0.7547741458671575
Exp58R,male,epsilon,-0.11276583527433671,0.05681621999324277,3,wild,WT,7949211,1955.585,23,1.8965745,1.705266,37.96011,10.862127,3.494721614,0.044922578,0.049962303,655.7922,1197.47565,49635.18,78841.35,57326.535,31.54563172,0.86583255,1307.561543,17.27582454,1510.178316,0.024125543,7945.8,29955.5,14450.1,232.78,6424.08,0.201712597,0.113719201,62.0762093,3.769979108,5281.43,600.6,7462.35,1505.25,0.21477300540676203,0.16303720517688094,0.622189789416357
Exp58R,male,gamma,-0.7537969349952316,0.5627662389962006,3,wild,WT,00079477ca,2086.384,23,1.2424077,1.2719943,42.753015,6.4580355,6.620126972,0.029752154,0.029060119,641.92905,1227.7818,54281.745,96347.475,59722.11,28.71801673,0.908905345,1269.658877,15.01482527,1396.909902,0.022618687,9394.2,35240.7,17922.24,242.05,8816.58,0.21413936,0.10285183,74.04354472,3.751325286,6776.35,696.96,9736.65,2085.0,0.20094539436561393,0.1137127160154924,0.6853418896188936
Exp61L,female,alpha,-1.8966180430524533,3.526683719014644,3,wild,WT,0007946daf,2440.308,26,2.244753,0.394848,31.187835,8.3713095,3.725562291,0.012660321,0.071975275,538.62165,1089.8307,46068.75,43724.205,45878.805,34.94409599,1.004140147,1477.138442,17.27024816,1471.048087,0.023656615,9290.16,24900.17,10153.29,220.42,5870.76,0.27430327,0.104173916,46.063379,2.680273537,3966.06,413.16,6151.95,1687.5,0.18660108877074297,0.0,0.813398911229257
Exp61L,female,beta,2.4554540869224164,2.0348889821041607,3,wild,WT,0007947d6d,2371.109,26,2.081376,0.3493476,37.62531,5.873526,6.405915288,0.00928491,0.055318508,781.63785,1423.99215,55444.095,65539.53,54789.21,37.84665562,1.01195281,1473.585068,20.77425674,1456.17963,0.025683387,10520.28,26947.28,8477.49,222.48,5286.12,0.262635756,0.126860977,38.10450378,2.561460341,4005.96,508.2,5745.6,1509.0,0.3399930299070016,0.0,0.6600069700929985
Exp61L,female,delta,-2.246570561446617,6.388774065764582,3,wild,WT,00079477ca,2032.699,26,2.07252,0.842157,29.35251,5.9060475,4.96990754,0.028691141,0.070607931,564.6186,1032.7905,45323.145,35871.255,42678.09,35.18576435,1.061976883,1544.097762,19.23578597,1453.984344,0.022787265,5928.24,27683.95,13332.9,216.3,5453.16,0.237708511,0.112813222,61.6407767,4.669842989,4797.31,541.2,5818.05,1383.0,0.18276724915399983,0.0,0.8172327508460001
Exp61L,female,epsilon,0.054240667311071585,4.159686689020466,3,wild,WT,7948757,1854.366,26,2.421819,0.4014819,42.521895,5.976612,7.114715662,0.009441769,0.056954635,894.1023,1456.31115,64467.9,91346.535,67994.64,34.24850068,0.948132088,1516.1107,21.02686863,1599.050089,0.02258971,9467.64,29370.87,10813.32,226.6,4765.86,0.264008346,0.113835199,47.71985878,3.102237728,4244.03,483.12,5894.7,1556.25,0.24674896467032975,0.0,0.7532510353296703
