Experiment,sex,Type,Genotype,Hierarchy,Mice.chips,Animal,Last.day.Glicko,RunningTime(N.events),RunningTime(min),WalkingTime(N.events),WalkingTime(min),StaticTime(N.events),StaticTime(min),movementTime(min),RunningTimeHighVelocity(N.events),RunningTimeHighVelocity(min),Median/mean.speed.(cm/sec),Median/mean.Aceleration.(cm/sec^2),Distance.traveled.(m),Angular.velocity.(rad/sec),sleepingSumTime(min),hidingSumTime(min),eatingSumTime(min),drinkingSumTime(min),Frequency.visits.the.hiding.boxes.(1/hour),Frequency.visits.outside.sleeping.box.(1/hour),ROI.exploration.(bits/hour),ArenaSumTime(min),CenterTimeAlone(min),InsideZoneTime(min),OutsideZoneTime(min),Chasing.(N.events),Chasing.duration.(sec),Being.chased.(N.events),Being.chased.duration.(sec),Chasing.plus.being.chasing.all(N.events),Chasing.plus.being.chasing.duration(sec),Foraging.correlation,Distance.pairs(cm),Together.(N.events),Time.together(min),Contact.snout-head.(N.events),Contact.snout-rear.(N.events),Contact.snout-head.(1/min),Contact.snout-rear.(1/min),Approaching.(N.events),Approaching.duration.(sec),Being.approached.(N.events),Being.approached.duration.(sec),Approach.and.being.events,Approach.and.being.duration.sec,Avoiding.(N.events),Avoiding.duration.(sec),Avoid.and.being.events,Avoid.plus.being.duration.sec,Being.avoided.(N.events),Being.avoided.duration.(sec),Last.Day.Stability,Overall.Stability,Glicko.per.day.y
Exp61R,female,wild,WT,beta,000715d48d,26,2299.033,1008.333333,2.724302722,6407.666667,43.54795278,5263.5,15.467555,46.272255,147.5,0.268772228,3.315845015,29.55849702,298.7593041,2.102535459,145.2683,7.671786167,2.582147167,2.063988833,16.87641791,16.58538404,0.166658838,87.03027444,5.671699944,48.42045833,19.19388944,3.833333333,5.197166667,2.333333333,2.424666667,6.166666667,7.621833333,0.01823168,25.83782063,491.3333333,8.104474944,277,291.5,1.154302812,1.214729234,5.333333333,12.75016667,4.666666667,5.3695,10,18.11966667,1.666666667,7.052,3.333333333,18.36966667,1.666666667,11.31766667,1,0.706461099,2161.938643
Exp61L,female,wild,WT,alpha,0007946daf,26,2440.308,1206.166667,3.737858389,6477.166667,41.03704222,5018.333333,15.76833556,44.77489944,144.1666667,0.266822222,4.247673038,37.88029509,326.4674328,2.506933874,126.8394639,6.959636167,1.984969444,3.271591611,17.58531458,61.50782554,0.166464985,106.1692439,13.52856117,56.83666111,15.93573278,1.5,1.469,0.5,0.3595,2,1.8285,0.004333727,26.33094401,400.1666667,8.52935,219.8333333,224,0.916089953,0.933455319,8.333333333,10.83283333,9.833333333,19.82116667,18.16666667,30.654,4.5,8.883,6.666666667,14.7835,2.166666667,5.9005,1,0.756775394,2352.135063
Exp61L,female,wild,WT,delta,00079477ca,26,2032.699,692,2.210702778,4332.333333,29.04831944,3422.833333,11.33913944,31.25902222,86.66666667,0.125452778,4.091981561,32.49880613,213.5719966,2.504912524,147.2030167,6.700397167,0.611763889,1.900269389,17.04387673,51.17346589,0.162065424,86.06493278,9.532194389,41.15451444,14.09068111,0.666666667,0.5965,1.5,1.414,2.166666667,2.0105,0.002971034,25.55554165,346,7.989105611,176.8333333,180.5,0.736909186,0.752190083,7,34.5325,11.5,31.36083333,18.5,65.89333333,3.5,7.749833333,5.333333333,12.34083333,1.833333333,4.591,1,0.914137877,2056.439904
Exp61L,female,wild,WT,beta,0007947d6d,26,2371.109,858.3333333,2.496041667,4801.5,33.56305889,3734.333333,11.54881944,36.05910056,123.3333333,0.230997223,8.586346034,55.8619237,251.2979763,2.608579938,152.8262917,9.927216722,0.481116667,1.382563889,21.25206677,52.71562978,0.196584924,77.21483056,5.920094444,37.26452833,16.34051444,5.166666667,6.834,1.666666667,1.705666667,6.833333333,8.539666667,0.000889283,23.61747634,333.8333333,6.972777778,190.8333333,191.1666667,0.795225647,0.796613274,6.666666667,12.39233333,4.666666667,8.442166667,11.33333333,20.8345,3,5.5655,5,9.700833333,2,4.135333333,0.77135531,0.670124625,2312.672127
Exp61R,female,wild,WT,delta,00079481c8,26,2138.304,1156.333333,3.184402722,8184.333333,52.17938611,6895.666667,20.40672,55.36378833,156.3333333,0.275175,3.796039662,32.26043371,345.7257471,2.434353916,112.4837861,7.823833389,2.812355556,1.660297167,17.50177762,23.21136513,0.151755769,119.6627361,12.12053889,54.80922167,32.79479722,2.833333333,3.0235,4.833333333,6.452166667,7.666666667,9.475666667,0.005145329,35.93038276,544.1666667,10.90083606,271.6666667,267.3333333,1.13208712,1.114031967,4.666666667,5.177333333,11.5,29.98433333,16.16666667,35.16166667,5.666666667,29.74216667,8.166666667,36.25,2.5,6.507833333,1,0.623265821,2223.169479
Exp61L,female,wild,WT,gamma,7945855,26,2218.994,724.1666667,1.973052722,5097,32.89094722,4189.666667,14.35111333,34.86399944,71.66666667,0.118097222,5.134990128,37.13614647,223.5504283,2.307354937,147.2745806,9.80815,0.203675,1.855211111,18.7103042,24.6701444,0.180202024,82.88560889,7.6511055,34.78594778,16.468005,1.833333333,1.6825,1.166666667,1.010666667,3,2.693166667,0.011488056,24.83248347,319.1666667,6.127361056,197.5,203.5,0.823012101,0.848013699,4,15.16666667,10.5,13.73783333,14.5,28.9045,4.333333333,10.34283333,5.5,12.23366667,1.166666667,1.890833333,0.758144053,0.610111765,2235.461224
Exp61R,female,wild,WT,gamma,7945983,26,2229.671,1055.666667,2.595652722,7218.166667,48.38802167,5920.5,17.94253278,50.98367556,150.3333333,0.264219439,3.963622628,34.96171044,317.9846074,2.452637506,119.2791944,7.451088889,3.784361056,0.984055556,15.83518915,30.7123063,0.159025682,113.2400861,6.476827722,46.89733556,30.59925778,2,1.724,1.833333333,1.664166667,3.833333333,3.388166667,0.02659226,36.18859733,527.8333333,8.415283389,285.3333333,297.3333333,1.189040928,1.239046876,5.166666667,6.846166667,8.333333333,16.682,13.5,23.52816667,4.666666667,22.0105,7.833333333,30.612,3.166666667,8.6015,0.781332824,0.717190228,2294.755029
Exp61R,female,wild,WT,alpha,7946963,26,2320.078,1314.333333,3.696102833,8709.333333,55.660325,7175.666667,21.616345,59.35642833,162.8333333,0.280383339,3.669565129,33.18391811,374.2743244,2.450941984,105.6549861,6.725730611,2.366966611,0.545038944,16.75212755,35.2960294,0.117843292,127.5896522,14.38818611,50.08761111,40.87283056,2.833333333,2.651166667,1.833333333,1.547,4.666666667,4.198166667,0.024034618,39.5674373,483,8.6536445,272.5,285,1.135564993,1.187657871,5.666666667,14.422,10,10.02883333,15.66666667,24.45083333,3.333333333,7.432166667,6,12.47883333,2.666666667,5.046666667,0.781471995,0.724874267,2247.201281
Exp61L,female,wild,WT,epsilon,7948757,26,1854.366,929.3333333,2.659166722,6505.166667,44.16125833,5280.833333,18.01164778,46.82042556,130.6666667,0.235616667,4.788354128,35.01776961,300.4180998,2.155125088,111.4734389,14.76251672,0.92285,1.700586111,36.29641411,31.46274076,0.189803468,113.7323783,19.88173894,56.97763556,20.51766444,0.5,0.572833333,4.833333333,6.665,5.333333333,7.237833333,-0.002411623,28.08379425,326.8333333,7.561572278,173.3333333,172,0.722314741,0.716759188,5,14.89766667,10,38.66433333,15,53.562,2.5,5.129833333,4.833333333,8.913833333,2.333333333,3.784,1,0.915709855,1987.23028
Exp61R,female,wild,WT,epsilon,7949211,26,2077.06,1237.833333,3.425836167,7276.5,46.45574389,5834.333333,17.12502833,49.88158056,135,0.235561117,4.315993811,38.99546657,344.9576485,2.556107108,134.9122444,5.6187305,2.5908,1.4724,16.50169253,21.62762349,0.159124117,99.43938,5.198805556,45.91904667,26.96601889,1.666666667,1.531166667,2.333333333,2.039,4,3.570166667,0.020861798,32.97304549,535.3333333,8.447372222,247.8333333,258,1.032763808,1.075129229,7.166666667,14.0625,7.333333333,15.26333333,14.5,29.32583333,4.333333333,9.580666667,6.166666667,21.20066667,1.833333333,11.62,1,0.764494341,2111.691556
