Experiment,sex,Type,Genotype,Hierarchy,Mice.chips,Animal,PC1,PC2,Archetype1_prob,Archetype2_prob,Archetype3_prob,Dominant_archetype
Exp58L,male,wild,WT,beta,0007946e6f,23,-1.0885937502922665,-8.000331086496193,0.0,1.0,0.0,2
Exp58L,male,wild,WT,delta,00079481c8,23,-3.885261812908866,-1.2298421486272448,0.03981551948897612,0.31334067814787886,0.6468438023631451,3
Exp58L,male,wild,WT,alpha,0007945de2,23,0.47837258508467567,-5.535009186485801,0.11504634612606617,0.7380681488424162,0.14688550503151748,2
Exp58L,male,wild,WT,epsilon,7946132,23,-2.9173802545752725,-4.1834480028755,0.01263918888718472,0.6140544669473116,0.3733063441655037,2
Exp58R,male,wild,WT,alpha,00079474dd,23,-0.09001588804928437,-1.232167274993059,0.18736996869921216,0.29611131378371786,0.51651871751707,3
Exp58R,male,wild,WT,delta,7948811,23,-4.107701488436931,0.0027612857945819008,0.05821487460395654,0.18701097952888587,0.7547741458671575,3
Exp58R,male,wild,WT,gamma,00079477ca,23,-0.7537969349952316,0.5627662389962006,0.20094539436561393,0.1137127160154924,0.6853418896188936,3
Exp58R,male,wild,WT,beta,7945855,23,2.836951059199748,0.2854289755892812,0.3345110946877098,0.12583913854290413,0.539649766769386,3
Exp58R,male,wild,WT,epsilon,7949211,23,-0.11276583527433671,0.05681621999324277,0.21477300540676203,0.16303720517688094,0.622189789416357,3
Exp61L,female,wild,WT,beta,0007947d6d,26,2.4554540869224164,2.0348889821041607,0.3399930299070016,0.0,0.6600069700929985,3
Exp61L,female,wild,WT,alpha,0007946daf,26,-1.8966180430524533,3.526683719014644,0.18660108877074297,0.0,0.813398911229257,3
Exp61L,female,wild,WT,epsilon,7948757,26,0.054240667311071585,4.159686689020466,0.24674896467032975,0.0,0.7532510353296703,3
Exp61L,female,wild,WT,gamma,7945855,26,0.15755052976214165,2.743418423438044,0.2547488463964002,0.0,0.7452511536035997,3
Exp61L,female,wild,WT,delta,00079477ca,26,-2.246570561446617,6.388774065764582,0.18276724915399983,0.0,0.8172327508460001,3
Exp61R,female,wild,WT,beta,000715d48d,26,3.862955253482451,1.5661687783792493,0.398059069859353,0.0,0.601940930140647,3
Exp61R,female,wild,WT,epsilon,7949211,26,2.526427976486261,3.970676146966542,0.3217486059302098,0.0,0.6782513940697903,3
Exp61R,female,wild,WT,delta,00079481c8,26,2.075397592341457,5.631912079219293,0.29670299475010126,0.0,0.7032970052498988,3
Exp61R,female,wild,WT,gamma,7945983,26,0.5217221338022965,5.073031479500803,0.2573584852520424,0.0,0.7426415147479576,3
Exp61R,female,wild,WT,alpha,7946963,26,-0.4797938655097849,1.5997166636662241,0.23435873097517773,0.005312909512967259,0.7603283595118551,3
Exp66R,female,wild,WT,gamma,7946132,35,4.995478765997506,1.4993942536028222,0.440903107993025,0.0,0.559096892006975,3
Exp66R,female,wild,WT,delta,7948045,35,10.610659846355496,2.039197885310169,0.618924309257451,0.0,0.381075690742549,1
Exp66R,female,wild,WT,epsilon,7945556,35,19.762223038143365,0.7382030843730013,0.9988536659058705,0.0011463340941294654,0.0,1
Exp66R,female,wild,WT,beta,000794632b,35,6.81521039187339,0.5275749857016329,0.4945484642842272,0.08250840211980559,0.4229431335959673,1
Exp67L,female,wild,WT,gamma,000715d6ff,36,1.7511570008977626,0.6066436225285224,0.29933149835912903,0.0976489122805639,0.6030195893603071,3
Exp67L,female,wild,WT,beta,000715a68a,36,-0.39291927133990895,0.9894719694877517,0.22434513974449788,0.06796400393540057,0.7076908563201016,3
Exp67L,female,wild,WT,epsilon,0007158ef6,36,0.9963875019602775,1.170407511175724,0.2823491246080563,0.04287458719384107,0.6747762881981028,3
Exp67L,female,wild,WT,delta,0007946e6f,36,-1.814420154200684,0.5872470928522114,0.16023267353197027,0.1160654056131196,0.7237019208549101,3
Exp67L,female,wild,WT,alpha,0006e9dbcd,36,-1.0064607284480347,0.5540594884287814,0.19092766574435832,0.11577532144827957,0.693297012807362,3
Exp68L,male,wild,WT,gamma,000794633b,37,7.6884238631756245,-5.740470985090985,0.34998285457499345,0.6500171454250065,0.0,2
Exp68L,male,wild,WT,beta,7948811,37,2.8292870743546574,-3.2910187138913236,0.255724857978276,0.49539591132178834,0.24887923069993578,2
Exp68L,male,wild,WT,alpha,00079477ca,37,3.9970045218556294,-3.7406969203468123,0.29127139402005864,0.5364820023223226,0.17224660365761882,2
Exp68L,male,wild,WT,delta,7946601,37,-0.08757937235069732,-4.353631397449105,0.11896156165269267,0.6186123201227254,0.26242611822458184,2
Exp68L,male,wild,WT,epsilon,000715a74e,37,5.423646811478963,-5.280522335725723,0.31234698727438237,0.6876530127256177,0.0,2
Exp66R,female,wild,WT,alpha,000715a0a0,35,5.356089633774557,1.0804700250414356,0.44993379208432493,0.032099199356596435,0.5179670085590786,3
